bed,row,col,Unique.ID,Li600,Genotype,Type
D ,24,B ,2440,18,(CC x WL2) x (WL2),F2
D ,25,B ,2222,19,(WL2 x BH) x (WL2 x TM2),F2
D ,26,A ,2577,NA,(WV x WL2) x (WV),F2
D ,26,B ,1803,NA,WL1,Parent
D ,28,A ,1864,20,WL2,Parent
D ,28,B ,2403,NA,WL1,Parent
D ,29,A ,2312,NA,(WL2) x (WL2 x BH),F2
D ,29,B ,1942,21,WV,Parent
D ,30,B ,1760,NA,TM2,Parent
D ,31,A ,1967,NA,BH x WL2,F1
D ,31,B ,2569,22,(WV x WL2) x (WL2 x BH),F2
D ,32,A ,1968,23,BH x WL2,F1
D ,32,B ,2633,NA,TM2,Parent
D ,33,B ,246,NA,(WL2 x BH) x (WL2 x TM2),F2
D ,34,A ,2406,NA,WL1,Parent
D ,34,B ,2224,25,(WL2 x BH) x (WL2 x TM2),F2
D ,35,B ,190,NA,WL2,Parent
D ,36,B ,2507,26,(TM2) x (TM2 x WL2),F2
D ,38,A ,1774,27,TM2,Parent
D ,38,B ,2418,28,SQ3 x WL2,F1
D ,39,A ,2515,29,(WL2 x BH) x (WL2 x CC),F2
D ,39,B ,1838,30,WL2,Parent
D ,40,A ,2261,31,(WL2 x TM2) x (TM2),F2
D ,40,B ,2414,NA,BH x WL2,F1
D ,41,A ,2455,NA,(WL2 x TM2) x (WL2 x BH),F2
D ,41,B ,1940,33,WV,Parent
D ,42,A ,2324,34,(WL2) x (WL2 x TM2),F2
D ,42,B ,1985,35,LV1 x WL2,F1
D ,43,B ,1804,36,WL1,Parent
D ,44,A ,2207,37,(WL2 x BH) x (WL2 x CC),F2
D ,44,B ,2596,38,(SQ3 x WL2) x (WL2),F2
D ,45,A ,2241,39,(WL2 x TM2) x (TM2),F2
D ,45,B ,398,NA,BH,Parent
D ,46,A ,2583,NA,(YO11 x WL2) x (WL2),F2
D ,47,B ,1403,NA,WV x WL2,F1
D ,48,A ,2490,40,WL2 x DPR,F1
D ,48,B ,1702,43,SQ3,Parent
D ,49,A ,2525,44,(WL2 x BH) x (WL2 x CC),F2
D ,49,B ,1707,45,TM2,Parent
D ,50,B ,2625,NA,WV,Parent
D ,51,B ,1988,NA,LV1 x WL2,F1
D ,52,A ,522,NA,TM2,Parent
D ,52,B ,2463,46,(WL2) x (WL2 x TM2),F2
D ,53,B ,2212,47,(WL2 x BH) x (WL2 x CC),F2
D ,54,A ,1876,48,WL2,Parent
D ,54,B ,1849,NA,WL2,Parent
D ,55,A ,2573,49,(WV x WL2) x (WL2 x CC),F2
D ,55,B ,2425,50,WL1 x WL2,F1
D ,56,A ,2544,51,(WL2 x CC) x (WL2 x BH),F2
D ,56,B ,2492,52,YO11 x WL2,F1
D ,57,B ,1327,NA,(WV x WL2) x (WL2 x DPR),F2
D ,58,B ,2131,53,(TM2 x WL2) x (TM2),F2
D ,4,C ,1901,55,WL2,Parent
D ,5,C ,2292,56,(WL2 x TM2) x (WL2 x BH),F2
D ,5,D ,2121,57,(SQ3 x WL2) x (WL2),F2
D ,7,C ,1751,58,TM2,Parent
D ,8,C ,2538,59,(WL2 x BH) x (WL2 x TM2),F2
D ,9,C ,2622,NA,DPR,Parent
D ,9,D ,1768,60,TM2,Parent
D ,10,C ,2412,NA,BH x WL2,F1
D ,12,C ,2257,61,(WL2 x TM2) x (TM2),F2
D ,13,C ,144,NA,WL2,Parent
D ,13,D ,2576,62,(WV x WL2) x (WV),F2
D ,15,C ,2376,NA,(WV) x (WV x WL2),F2
D ,15,D ,1667,NA,LV1,Parent
D ,16,C ,2343,63,(WV x WL2) x (WL2 x BH),F2
D ,16,D ,2539,NA,(WL2 x BH) x (WL2 x TM2),F2
D ,17,D ,1791,NA,TM2,Parent
D ,18,C ,2510,64,(WL2 x BH) x (WL2 x CC),F2
D ,18,D ,2054,NA,YO11 x WL2,F1
D ,19,C ,1767,65,TM2,Parent
D ,19,D ,1644,66,DPR,Parent
D ,20,D ,2399,NA,SQ3,Parent
D ,21,D ,1977,67,DPR x WL2,F1
D ,22,C ,53,NA,YO11,Parent
D ,23,D ,815,NA,(SQ3 x WL2) x (DPR x WL2),F2
D ,24,D ,2461,68,(WL2) x (WL2 x TM2),F2
D ,25,C ,2047,69,WL2 x YO11,F1
D ,26,D ,1600,70,BH,Parent
D ,27,C ,1837,71,WL2,Parent
D ,27,D ,2283,NA,(WL2 x TM2) x (TM2),F2
D ,28,D ,2129,NA,(TM2 x WL2) x (TM2),F2
D ,29,C ,1971,72,BH x WL2,F1
D ,29,D ,2617,73,CC,Parent
D ,30,D ,2451,74,(WL2 x TM2) x (CC x TM2),F2
D ,31,C ,2540,75,(WL2 x BH) x (WL2 x TM2),F2
D ,32,D ,2526,76,(WL2 x BH) x (WL2 x CC),F2
D ,33,C ,2422,11,WL1 x WL2,F1
D ,34,C ,1648,NA,DPR,Parent
D ,34,D ,2345,79,(WV x WL2) x (WL2 x BH),F2
D ,35,D ,2479,80,DPR x WL2,F1
D ,36,D ,2468,81,(WV x WL2) x (WL2 x CC),F2
D ,37,C ,2050,NA,WL2 x YO11,F1
D ,38,D ,2055,82,YO11 x WL2,F1
